n,rand_std,rand_hyb,rev_std,rev_hyb,alm_std,alm_hyb
56200,13,19,10,10,6,6
56300,14,23,7,7,6,6
56400,14,12,7,7,6,6
56500,23,17,11,8,5,10
56600,29,22,8,7,4,5
56700,16,12,7,7,4,4
56800,14,12,6,7,5,4
56900,14,12,7,6,4,4
57000,13,14,7,6,4,4
57100,13,12,7,6,5,4
57200,14,13,7,7,5,5
57300,15,13,8,7,5,5
57400,14,13,7,7,5,5
57500,13,12,6,7,5,4
57600,13,17,7,7,5,5
57700,15,13,7,7,5,5
57800,14,12,6,6,4,4
57900,14,11,6,7,4,4
58000,13,12,6,6,4,4
58100,13,13,7,8,8,7
58200,17,12,7,7,5,4
58300,13,12,7,7,5,4
58400,13,11,6,6,4,4
58500,12,11,6,6,4,4
58600,13,12,7,7,4,4
58700,13,11,6,6,4,4
58800,12,11,6,6,4,4
58900,13,11,6,6,4,4
59000,12,12,6,6,4,4
59100,13,11,7,6,4,4
59200,14,11,6,6,4,4
59300,13,10,6,6,4,4
59400,12,11,6,6,4,4
59500,12,11,6,6,4,4
59600,13,12,8,7,5,4
59700,13,11,7,6,4,4
59800,13,12,6,6,4,4
59900,12,11,6,6,4,4
60000,13,11,6,6,4,4
60100,12,11,7,7,4,5
60200,14,13,7,7,4,4
60300,14,12,7,6,5,4
60400,14,12,7,6,4,4
60500,14,11,6,7,4,4
60600,13,11,6,6,4,4
60700,12,11,7,8,5,4
60800,15,13,7,7,5,4
60900,13,11,6,6,4,4
61000,13,11,7,6,4,4
61100,12,11,7,7,4,4
61200,13,11,6,6,4,5
61300,13,12,7,7,5,5
61400,13,12,7,7,4,4
61500,13,12,6,7,4,4
61600,13,11,7,6,5,4
61700,13,12,6,7,4,4
61800,12,11,6,6,4,4
61900,14,11,6,7,4,5
62000,14,12,7,6,4,4
62100,12,11,6,6,4,4
62200,13,11,6,7,5,4
62300,12,11,6,7,4,4
62400,13,11,7,6,4,4
62500,14,13,7,8,5,5
62600,15,14,7,8,5,5
62700,15,12,7,7,5,5
62800,14,12,7,7,5,5
62900,14,12,6,6,5,4
63000,12,12,7,7,5,4
63100,12,12,6,6,5,4
63200,13,12,7,6,4,4
63300,12,11,6,6,4,4
63400,13,12,6,6,4,6
63500,13,12,7,6,4,4
63600,14,12,7,7,5,4
63700,13,12,7,6,4,4
63800,13,11,7,7,4,4
63900,14,12,7,7,5,4
64000,13,12,7,6,4,4
64100,14,11,6,6,4,4
64200,12,12,9,7,5,5
64300,15,13,6,7,4,4
64400,13,11,7,6,4,4
64500,13,12,6,6,4,5
64600,13,13,6,6,4,4
64700,13,12,8,8,6,5
64800,15,13,7,7,4,4
64900,13,12,6,6,5,4
65000,13,13,7,6,4,4
65100,13,12,6,7,4,4
65200,14,12,6,7,4,5
65300,14,12,7,6,4,4
65400,13,13,7,6,5,5
65500,13,12,6,6,4,4
65600,13,13,6,6,4,5
65700,13,12,6,6,4,4
65800,13,12,6,7,4,4
65900,14,12,6,6,4,4
66000,13,12,7,6,5,4
66100,13,12,6,6,4,5
66200,13,12,6,8,4,4
66300,13,12,8,7,4,4
66400,13,12,7,6,4,4
66500,14,12,7,7,4,4
66600,13,13,7,7,5,5
66700,14,14,7,7,4,4
66800,14,12,7,6,4,4
66900,14,12,6,7,5,5
67000,14,12,7,6,4,4
67100,14,12,7,6,4,6
67200,13,12,7,6,5,5
67300,14,13,7,7,5,4
67400,14,12,7,6,4,4
67500,13,12,7,7,5,5
67600,15,13,7,6,4,5
67700,13,12,7,7,4,4
67800,14,12,7,6,4,4
67900,13,12,7,7,4,4
68000,13,12,7,7,4,5
68100,14,12,7,6,5,4
68200,14,13,7,7,4,4
68300,14,14,7,7,4,4
68400,14,13,7,7,5,5
68500,13,12,7,7,4,4
68600,14,12,7,7,5,4
68700,14,13,7,7,5,4
68800,14,12,7,7,4,4
68900,14,12,8,7,4,5
69000,14,12,7,7,4,5
69100,14,13,7,7,4,6
69200,15,13,7,7,5,5
69300,14,12,7,8,5,5
69400,14,13,7,7,4,4
69500,14,12,7,7,4,4
69600,14,13,7,7,4,4
69700,15,14,7,7,4,4
69800,14,13,7,7,4,4
69900,14,13,8,7,4,4
70000,14,13,8,7,5,4
70100,14,14,8,8,5,5
70200,14,13,7,7,5,4
70300,15,13,7,7,4,5
70400,15,13,7,7,4,5
70500,15,13,7,7,5,5
70600,14,13,7,7,4,4
70700,14,13,7,7,4,4
70800,14,13,7,7,5,5
70900,14,13,7,7,5,4
71000,14,13,8,9,5,5
71100,14,13,7,8,4,4
71200,14,13,7,7,5,4
71300,14,13,7,7,5,4
71400,14,13,7,7,5,5
71500,14,13,7,7,5,5
71600,15,13,7,7,5,5
71700,14,13,8,7,5,4
71800,14,13,7,7,5,5
71900,14,13,7,7,5,5
72000,15,13,7,7,5,5
72100,14,13,7,7,5,5
72200,16,14,8,7,5,5
72300,14,15,7,7,6,5
72400,14,15,8,8,6,5
72500,15,14,7,8,5,5
72600,15,14,7,7,5,5
72700,14,13,8,7,5,5
72800,16,13,8,7,5,5
72900,15,13,7,8,5,6
73000,14,14,7,7,5,4
73100,14,13,7,7,6,5
73200,14,14,7,7,5,6
73300,15,13,7,10,6,5
73400,15,13,8,8,5,5
73500,14,14,7,7,5,5
73600,14,13,7,8,5,5
73700,15,14,7,7,5,5
73800,15,13,7,7,5,5
73900,15,13,8,7,5,5
74000,15,14,8,7,5,5
74100,15,14,8,8,5,5
74200,15,13,7,7,5,5
74300,15,13,7,7,5,5
74400,15,13,7,8,5,5
74500,15,13,7,8,7,5
74600,15,13,7,7,5,5
74700,15,14,8,7,5,5
74800,15,14,8,8,5,5
74900,15,14,7,7,5,5
75000,15,14,8,8,5,5
75100,16,14,8,8,5,5
75200,15,13,7,7,5,5
75300,15,14,7,7,5,5
75400,16,14,8,7,5,5
75500,15,14,8,7,5,5
75600,15,14,8,7,5,5
75700,15,14,8,8,6,5
75800,15,14,8,7,5,5
75900,16,14,8,7,5,5
76000,15,14,8,7,5,5
76100,15,14,8,7,5,5
76200,15,14,8,7,7,5
76300,17,14,8,7,5,5
76400,15,15,8,7,5,5
76500,15,14,8,7,5,5
76600,15,14,8,7,5,5
76700,15,14,8,7,5,5
76800,15,14,8,7,5,5
76900,17,22,11,9,5,5
77000,16,14,8,7,5,5
77100,16,15,8,7,5,5
77200,16,15,9,7,5,5
77300,15,14,8,7,5,5
77400,16,14,8,7,5,5
77500,17,14,8,7,5,6
77600,16,14,8,8,5,5
77700,16,14,8,7,5,5
77800,16,15,8,7,5,5
77900,15,14,8,8,5,5
78000,16,15,8,7,5,5
78100,16,14,8,8,5,5
78200,15,14,8,8,5,5
78300,16,14,8,8,6,6
78400,17,16,8,8,5,5
78500,16,15,9,8,5,5
78600,16,14,8,8,5,5
78700,16,14,8,8,5,5
78800,16,14,9,8,5,5
78900,16,16,8,8,5,6
79000,16,14,8,8,6,5
79100,17,14,8,8,5,5
79200,16,14,9,10,6,6
79300,16,14,8,8,5,5
79400,16,14,9,8,5,6
79500,16,14,8,8,5,5
79600,16,15,9,9,5,5
79700,16,14,8,8,5,5
79800,16,15,9,8,5,5
79900,16,15,8,8,5,5
80000,16,14,8,8,6,6
80100,16,15,8,8,5,5
80200,17,15,9,8,6,6
80300,16,14,8,8,5,5
80400,16,15,8,8,5,5
80500,16,15,8,8,5,5
80600,16,15,8,8,5,6
80700,17,15,9,9,6,5
80800,16,15,8,8,5,5
80900,16,16,8,8,5,5
81000,16,15,8,8,5,6
81100,16,15,8,8,5,5
81200,16,15,8,8,5,5
81300,17,16,9,8,5,5
81400,16,15,8,9,6,5
81500,16,15,8,8,5,5
81600,16,15,8,9,6,6
81700,16,15,8,8,5,5
81800,17,15,8,9,6,6
81900,17,15,8,9,5,5
82000,17,15,8,8,5,5
82100,16,15,8,8,5,5
82200,16,15,8,8,5,5
82300,17,16,9,8,5,5
82400,16,15,8,8,5,6
82500,16,15,9,9,6,5
82600,18,15,8,8,6,5
82700,16,15,8,9,5,5
82800,16,16,8,8,5,5
82900,17,15,8,8,5,5
83000,17,15,8,9,5,5
83100,17,15,9,8,6,6
83200,17,15,8,8,5,5
83300,16,15,9,8,6,6
83400,17,15,8,8,6,5
83500,17,15,8,8,5,6
83600,17,15,9,9,5,5
83700,17,15,8,8,5,6
83800,18,15,9,9,6,5
